t,UAB0,UAB1,UAB2
3.105,100.12,1.0012,0.99992
3.11,100.12,1.0012,0.99992
3.115,100.12,1.0012,0.99992
3.12,100.12,1.0012,0.99992
3.125,100.12,1.0012,0.99992
3.13,100.11,1.0011,0.99982
3.135,100.11,1.0011,0.99982
3.14,100.11,1.0011,0.99982
3.145,100.11,1.0011,0.99982
3.15,100.11,1.0011,0.99982
3.155,100.11,1.0011,0.99982
3.16,100.11,1.0011,0.99982
3.165,100.11,1.0011,0.99982
3.17,100.11,1.0011,0.99982
3.175,100.11,1.0011,0.99982
3.18,100.12,1.0012,0.99992
3.185,100.11,1.0011,0.99982
3.19,100.11,1.0011,0.99982
3.195,100.11,1.0011,0.99982
3.2,100.11,1.0011,0.99982
3.205,100.11,1.0011,0.99982
3.21,100.1,1.001,0.99972
3.215,100.1,1.001,0.99972
3.22,100.1,1.001,0.99972
3.225,100.1,1.001,0.99972
3.23,100.1,1.001,0.99972
3.235,100.1,1.001,0.99972
3.24,100.1,1.001,0.99972
3.245,100.1,1.001,0.99972
3.25,100.1,1.001,0.99972
3.255,100.1,1.001,0.99972
3.26,100.11,1.0011,0.99982
3.265,100.1,1.001,0.99972
3.27,100.1,1.001,0.99972
3.275,100.1,1.001,0.99972
3.28,100.1,1.001,0.99972
3.285,100.1,1.001,0.99972
3.29,100.1,1.001,0.99972
3.295,100.1,1.001,0.99972
3.3,100.09,1.0009,0.99962
3.305,100.1,1.001,0.99972
3.31,100.09,1.0009,0.99962
3.315,100.09,1.0009,0.99962
3.32,100.1,1.001,0.99972
3.325,100.1,1.001,0.99972
3.33,100.1,1.001,0.99972
3.335,100.1,1.001,0.99972
3.34,100.11,1.0011,0.99982
3.345,100.1,1.001,0.99972
3.35,100.1,1.001,0.99972
3.355,100.1,1.001,0.99972
3.36,100.1,1.001,0.99972
3.365,100.1,1.001,0.99972
3.37,100.09,1.0009,0.99962
3.375,100.1,1.001,0.99972
3.38,100.09,1.0009,0.99962
3.385,100.09,1.0009,0.99962
3.39,100.09,1.0009,0.99962
3.395,100.09,1.0009,0.99962
3.4,100.09,1.0009,0.99962
3.405,100.09,1.0009,0.99962
3.41,100.09,1.0009,0.99962
3.415,100.09,1.0009,0.99962
3.42,100.1,1.001,0.99972
3.425,100.09,1.0009,0.99962
3.43,100.1,1.001,0.99972
3.435,100.09,1.0009,0.99962
3.44,100.09,1.0009,0.99962
3.445,100.09,1.0009,0.99962
