t,UAB
3.49,0.99917
3.495,0.99923
3.5,0.99918
3.505,0.99921
3.51,0.99919
3.515,0.9992
3.52,0.99919
3.525,0.99915
3.53,0.99917
3.535,0.99913
3.54,0.99916
3.545,0.99913
3.55,0.99916
3.555,0.99913
3.56,0.99916
3.565,0.99915
3.57,0.99916
3.575,0.99917
3.58,0.99916
3.585,0.99919
3.59,0.99917
3.595,0.99921
3.6,0.99919
3.605,0.9992
3.61,0.99919
3.615,0.99919
3.62,0.99918
3.625,0.99921
3.63,0.99919
3.635,0.99923
3.64,0.99921
3.645,0.99922
3.65,0.99919
3.655,0.99921
3.66,0.99916
3.665,0.99917
3.67,0.99915
3.675,0.99913
3.68,0.99915
3.685,0.99909
3.69,0.99911
3.695,0.99903
3.7,0.99905
3.705,0.99899
3.71,0.99904
3.715,0.99898
3.72,0.99902
3.725,0.99901
3.73,0.99902
3.735,0.99904
3.74,0.99904
3.745,0.99907
3.75,0.99903
3.755,0.99907
3.76,0.99901
3.765,0.99904
3.77,0.99901
3.775,0.99902
3.78,0.99899
3.785,0.99896
3.79,0.99897
3.795,0.99892
3.8,0.99896
3.805,0.99891
3.81,0.99896
3.815,0.99888
3.82,0.99892
3.825,0.99888
3.83,0.99892
3.835,0.99891
3.84,0.99893
3.845,0.99894
3.85,0.99892
3.855,0.99895
3.86,0.99893
3.865,0.99896
3.87,0.99893
3.875,0.99894
3.88,0.99894
3.885,0.99889
3.89,0.99892
3.895,0.99887
3.9,0.99889
3.905,0.99886
3.91,0.99889
3.915,0.99886
3.92,0.9989
3.925,0.99891
3.93,0.9989
3.935,0.99891
3.94,0.99891
3.945,0.99893
3.95,0.99893
3.955,0.99893
3.96,0.99892
3.965,0.99892
3.97,0.99892
3.975,0.99891
3.98,0.99892
3.985,0.9989
3.99,0.9989
3.995,0.9989
4,0.99894
4.005,0.99896
4.01,0.99897
4.015,0.99899
4.02,0.99897
4.025,0.99898
4.03,0.99896
4.035,0.99897
4.04,0.99897
4.045,0.99892
4.05,0.99894
4.055,0.99887
4.06,0.99889
4.065,0.99882
4.07,0.99888
4.075,0.99882
4.08,0.99887
4.085,0.99883
4.09,0.99888
4.095,0.99887
4.1,0.99888
4.105,0.9989
4.11,0.9989
4.115,0.99892
4.12,0.9989
4.125,0.99891
4.13,0.9989
4.135,0.99892
4.14,0.9989
4.145,0.9989
4.15,0.99888
4.155,0.99884
4.16,0.99888
4.165,0.99884
4.17,0.99888
4.175,0.99885
4.18,0.99886
4.185,0.99884
4.19,0.99886
4.195,0.99887
4.2,0.99887
4.205,0.9989
4.21,0.99888
4.215,0.99891
4.22,0.9989
4.225,0.99893
4.23,0.99889
4.235,0.99893
4.24,0.99891
4.245,0.99893
4.25,0.99894
4.255,0.99893
4.26,0.99894
4.265,0.99892
4.27,0.99895
4.275,0.99893
4.28,0.99895
4.285,0.99895
4.29,0.99896
4.295,0.99898
4.3,0.99897
4.305,0.99899
4.31,0.99897
4.315,0.999
4.32,0.99898
4.325,0.99899
4.33,0.99898
4.335,0.99897
4.34,0.99897
4.345,0.99897
4.35,0.99898
4.355,0.99897
4.36,0.99899
4.365,0.99898
4.37,0.99899
4.375,0.99902
4.38,0.99901
4.385,0.99904
4.39,0.99901
4.395,0.99904
4.4,0.99901
4.405,0.99902
4.41,0.99901
4.415,0.99899
4.42,0.999
4.425,0.99896
4.43,0.99897
4.435,0.99894
4.44,0.99896
4.445,0.99894
4.45,0.99897
4.455,0.99896
4.46,0.99898
4.465,0.999
4.47,0.999
4.475,0.99905
4.48,0.99904
4.485,0.99911
4.49,0.99907
4.495,0.99914
4.5,0.99909
4.505,0.99915
4.51,0.99909
4.515,0.99911
4.52,0.9991
4.525,0.99907
4.53,0.99906
4.535,0.99902
4.54,0.99905
4.545,0.999
4.55,0.99906
4.555,0.99901
4.56,0.99903
4.565,0.99899
4.57,0.99903
4.575,0.99901
4.58,0.99901
4.585,0.999
4.59,0.999
4.595,0.99899
4.6,0.99898
4.605,0.99897
4.61,0.99897
4.615,0.99895
4.62,0.99896
4.625,0.99893
4.63,0.99894
4.635,0.99894
4.64,0.99896
4.645,0.99896
4.65,0.99894
4.655,0.99895
4.66,0.99894
4.665,0.99897
4.67,0.99895
4.675,0.99897
4.68,0.99894
4.685,0.99892
4.69,0.99891
4.695,0.99889
4.7,0.99891
4.705,0.99891
4.71,0.99891
4.715,0.99888
4.72,0.99889
4.725,0.99886
4.73,0.99889
4.735,0.99889
4.74,0.99888
4.745,0.99889
4.75,0.99888
4.755,0.9989
4.76,0.9989
4.765,0.99893
4.77,0.99891
4.775,0.99894
4.78,0.99892
4.785,0.99892
4.79,0.99891
4.795,0.99889
4.8,0.99889
4.805,0.99886
4.81,0.99888
4.815,0.99882
4.82,0.99884
4.825,0.99879
4.83,0.99882
4.835,0.99881
4.84,0.99885
4.845,0.99886
4.85,0.99887
4.855,0.9989
4.86,0.99888
4.865,0.99892
4.87,0.99887
4.875,0.99889
4.88,0.99888
4.885,0.99886
4.89,0.99887
4.895,0.99882
4.9,0.99883
4.905,0.99878
4.91,0.99882
4.915,0.99879
4.92,0.99882
4.925,0.99882
4.93,0.99883
4.935,0.99885
4.94,0.99884
4.945,0.99886
4.95,0.99884
