t,UABreal,UFD,IFD,UAB
1.305,99.609,152.87,1137.1,0.99609
1.31,99.623,150.25,1132,0.99623
1.315,99.633,148.97,1126.2,0.99633
1.32,99.639,145.69,1122.5,0.99639
1.325,99.648,144.36,1120.9,0.99648
1.33,99.67,141.71,1118.6,0.9967
1.335,99.68,140.54,1117.9,0.9968
1.34,99.723,138.66,1115.6,0.99723
1.345,99.734,137.83,1113.2,0.99734
1.35,99.778,135.74,1111.6,0.99778
1.355,99.789,135.09,1108.4,0.99789
1.36,99.836,133.49,1105.6,0.99836
1.365,99.846,132.92,1102.8,0.99846
1.37,99.876,131.9,1100.4,0.99876
1.375,99.885,131.48,1097.6,0.99885
1.38,99.909,130.18,1098,0.99909
1.385,99.919,129.82,1094.5,0.99919
1.39,99.953,128.37,1093.6,0.99953
1.395,99.961,127.86,1093,0.99961
1.4,99.989,126.88,1090.3,0.99989
1.405,99.996,126.39,1091.2,0.99996
1.41,99.996,125.41,1088.9,0.99996
1.415,100,125.12,1086.5,1
1.42,100,124.02,1083.2,1
1.425,100.01,123.64,1080.2,1.0001
1.43,100.02,122.91,1078.6,1.0002
1.435,100.02,122.49,1077.6,1.0002
1.44,100.03,122,1078.2,1.0003
1.445,100.03,121.94,1079,1.0003
1.45,100.03,121.29,1077.1,1.0003
1.455,100.03,121.17,1075.4,1.0003
1.46,100.03,120.33,1072.9,1.0003
1.465,100.03,119.92,1069,1.0003
1.47,100.03,119.25,1069.1,1.0003
1.475,100.04,119.12,1069.1,1.0004
1.48,100.03,118.91,1069.4,1.0003
1.485,100.04,119.02,1070.3,1.0004
1.49,100.03,118.67,1067.4,1.0003
1.495,100.03,118.77,1066.6,1.0003
1.5,100.02,118.42,1066.5,1.0002
1.505,100.03,118.51,1066.8,1.0003
1.51,100.02,118.35,1066,1.0002
1.515,100.03,118.27,1064.8,1.0003
1.52,100.02,117.92,1063,1.0002
1.525,100.02,117.66,1058.9,1.0002
1.53,100.01,117.39,1059,1.0001
1.535,100.02,117.48,1057.5,1.0002
1.54,100.01,117.33,1056.2,1.0001
1.545,100.02,117.47,1055.5,1.0002
1.55,100.01,117.28,1056.2,1.0001
1.555,100.01,117.2,1057,1.0001
1.56,100,116.88,1057.5,1
1.565,100,116.85,1059.7,1
1.57,100,116.63,1058,1
1.575,100,116.71,1057.8,1
1.58,99.998,116.49,1058.2,0.99998
1.585,100,116.45,1057.9,1
1.59,99.99,116.05,1056.1,0.9999
1.595,99.994,116.02,1055.1,0.99994
1.6,99.98,115.94,1053,0.9998
1.605,99.985,115.96,1050.2,0.99985
1.61,99.978,115.86,1050.9,0.99978
1.615,99.983,116.08,1050.7,0.99983
1.62,99.983,116.02,1051.4,0.99983
1.625,99.987,116.19,1050.7,0.99987
1.63,99.978,116.08,1051.2,0.99978
1.635,99.982,115.88,1050.8,0.99982
1.64,99.968,115.39,1050.3,0.99968
1.645,99.972,115.39,1050.7,0.99972
1.65,99.966,115.13,1050.5,0.99966
1.655,99.97,115.4,1050.2,0.9997
1.66,99.968,115.62,1049.3,0.99968
1.665,99.973,115.65,1051.6,0.99973
1.67,99.968,115.67,1050,0.99968
1.675,99.972,115.59,1050.5,0.99972
1.68,99.968,115.31,1051.8,0.99968
1.685,99.973,115.4,1051.3,0.99973
1.69,99.968,115.25,1050.1,0.99968
1.695,99.973,115.51,1049.8,0.99973
1.7,99.964,115.36,1047.8,0.99964
1.705,99.969,115.5,1046.4,0.99969
1.71,99.965,115.59,1046.1,0.99965
1.715,99.97,115.58,1045.1,0.9997
1.72,99.962,115.36,1043.9,0.99962
1.725,99.967,115.45,1042.2,0.99967
1.73,99.964,115.29,1043.8,0.99964
1.735,99.97,115.21,1043.1,0.9997
1.74,99.971,114.95,1043.1,0.99971
1.745,99.976,114.87,1043.4,0.99976
1.75,99.971,114.39,1043.3,0.99971
1.755,99.976,114.51,1043.8,0.99976
1.76,99.971,114.48,1044.9,0.99971
1.765,99.976,114.78,1044.8,0.99976
1.77,99.972,114.68,1043.4,0.99972
1.775,99.978,114.71,1043.6,0.99978
1.78,99.973,114.58,1044.4,0.99973
1.785,99.979,114.49,1046.6,0.99979
1.79,99.975,114.45,1045.7,0.99975
1.795,99.979,114.61,1045.7,0.99979
1.8,99.978,114.55,1044.3,0.99978
1.805,99.985,114.64,1042.9,0.99985
1.81,99.982,114.59,1043.2,0.99982
1.815,99.988,114.72,1042.5,0.99988
1.82,99.991,114.47,1042.2,0.99991
1.825,99.996,114.54,1040.1,0.99996
1.83,99.995,114.45,1041.4,0.99995
1.835,100,114.46,1039.8,1
1.84,100,114.41,1038.4,1
1.845,100,114.38,1038.7,1
1.85,100.01,114.06,1038.1,1.0001
1.855,100.01,114.24,1038.1,1.0001
1.86,100.01,114.04,1038.9,1.0001
1.865,100.02,114.14,1040.8,1.0002
1.87,100.02,113.99,1039.8,1.0002
1.875,100.02,113.82,1041.5,1.0002
1.88,100.02,113.65,1042.7,1.0002
1.885,100.03,113.78,1043.3,1.0003
1.89,100.02,113.83,1042.4,1.0002
1.895,100.03,114.04,1042.3,1.0003
1.9,100.03,114.12,1041.7,1.0003
1.905,100.03,114.22,1040.7,1.0003
1.91,100.03,114.1,1040.8,1.0003
1.915,100.04,114.21,1040.3,1.0004
1.92,100.04,114.14,1038.7,1.0004
1.925,100.04,114.24,1037,1.0004
1.93,100.04,114.12,1038,1.0004
1.935,100.05,114.18,1036.4,1.0005
1.94,100.05,114.09,1036,1.0005
1.945,100.05,114.02,1035.5,1.0005
1.95,100.05,113.95,1036.5,1.0005
1.955,100.06,114.08,1036.6,1.0006
1.96,100.07,113.68,1038,1.0007
1.965,100.07,113.94,1038.1,1.0007
1.97,100.07,113.74,1035.8,1.0007
1.975,100.08,113.6,1037.2,1.0008
1.98,100.08,113.52,1037.9,1.0008
1.985,100.09,113.52,1040.4,1.0009
1.99,100.1,113.28,1039.8,1.001
1.995,100.1,113.46,1040,1.001
2,100.1,113.38,1039.1,1.001
2.005,100.11,113.44,1037.8,1.0011
2.01,100.1,113.34,1038.2,1.001
2.015,100.11,113.52,1037.7,1.0011
2.02,100.1,113.59,1036.6,1.001
2.025,100.11,113.78,1035.6,1.0011
2.03,100.11,113.89,1036.4,1.0011
2.035,100.11,113.98,1034.9,1.0011
2.04,100.11,113.91,1034.5,1.0011
2.045,100.11,113.9,1033.1,1.0011
2.05,100.11,113.74,1034.3,1.0011
2.055,100.12,113.85,1033.9,1.0012
2.06,100.11,113.75,1033.6,1.0011
2.065,100.12,113.95,1033.9,1.0012
2.07,100.11,113.93,1033.4,1.0011
2.075,100.12,114.04,1034.7,1.0012
2.08,100.11,113.79,1035.4,1.0011
2.085,100.12,113.84,1037.4,1.0012
2.09,100.12,113.57,1035,1.0012
2.095,100.12,113.69,1035.4,1.0012
2.1,100.13,113.39,1035.9,1.0013
2.105,100.14,113.3,1035,1.0014
2.11,100.14,113.03,1035.5,1.0014
2.115,100.15,112.92,1034.3,1.0015
2.12,100.14,112.83,1032.8,1.0014
2.125,100.15,112.93,1031.3,1.0015
2.13,100.14,112.8,1032.8,1.0014
2.135,100.15,112.88,1031.7,1.0015
2.14,100.14,112.72,1031.5,1.0014
2.145,100.15,112.68,1031.7,1.0015
2.15,100.14,112.63,1031.8,1.0014
2.155,100.14,112.84,1032,1.0014
2.16,100.13,112.98,1032.1,1.0013
2.165,100.14,113.34,1031.7,1.0014
2.17,100.13,113.4,1031.3,1.0013
2.175,100.14,113.48,1032.5,1.0014
2.18,100.13,113.39,1033.8,1.0013
2.185,100.13,113.43,1036.4,1.0013
2.19,100.12,113.21,1035.9,1.0012
2.195,100.13,113.34,1036.4,1.0013
2.2,100.12,113.23,1037.3,1.0012
2.205,100.12,113.37,1037.4,1.0012
2.21,100.11,113.39,1035.8,1.0011
2.215,100.12,113.34,1034.9,1.0012
2.22,100.11,113.09,1034,1.0011
2.225,100.12,113.06,1031.1,1.0012
2.23,100.11,112.7,1033.3,1.0011
2.235,100.12,112.83,1031.9,1.0012
2.24,100.11,112.61,1030.1,1.0011
2.245,100.12,112.74,1029.4,1.0012
2.25,100.11,112.73,1029.5,1.0011
2.255,100.11,112.78,1029.9,1.0011
2.26,100.1,112.68,1030.4,1.001
2.265,100.11,112.72,1031.8,1.0011
2.27,100.09,112.52,1030.5,1.0009
2.275,100.1,112.47,1032.2,1.001
2.28,100.09,112.52,1033.2,1.0009
2.285,100.1,112.71,1034.6,1.001
2.29,100.09,112.74,1033.8,1.0009
2.295,100.09,113.07,1033.7,1.0009
2.3,100.08,112.94,1034.5,1.0008
2.305,100.08,113.04,1034.6,1.0008
2.31,100.07,113.03,1034.4,1.0007
2.315,100.08,113.15,1034.3,1.0008
2.32,100.07,113.03,1032.8,1.0007
2.325,100.07,113.11,1031,1.0007
2.33,100.06,112.85,1032.6,1.0006
2.335,100.06,112.9,1030.8,1.0006
2.34,100.05,112.82,1029.9,1.0005
2.345,100.05,112.91,1028.6,1.0005
2.35,100.04,112.85,1029,1.0004
2.355,100.05,113,1028.5,1.0005
2.36,100.04,112.92,1028.5,1.0004
2.365,100.04,112.97,1029.9,1.0004
2.37,100.03,112.89,1029.5,1.0003
2.375,100.04,112.89,1031.2,1.0004
2.38,100.03,112.73,1032.9,1.0003
2.385,100.03,112.89,1034.7,1.0003
2.39,100.02,112.73,1032.7,1.0002
2.395,100.03,112.88,1033.4,1.0003
2.4,100.01,112.86,1033.9,1.0001
2.405,100.02,112.88,1033.2,1.0002
2.41,100.01,112.73,1033,1.0001
2.415,100.01,112.78,1032.2,1.0001
2.42,100,112.38,1030,1
2.425,100.01,112.58,1028.7,1.0001
2.43,99.995,112.67,1028.8,0.99995
2.435,100,113.04,1029.2,1
2.44,100,113.37,1030.7,1
2.445,100,113.44,1029.5,1
2.45,99.999,113.19,1031.4,0.99999
2.455,100,113.15,1029.1,1
2.46,99.984,112.81,1027.7,0.99984
2.465,99.991,112.89,1028.7,0.99991
