t,UAB,UFD(V),IFD(A)
0.02203,0.955,161.133,532.26
0.02211,0.955,161.133,532.26
0.02219,0.955,161.133,532.26
0.02227,0.955,161.133,532.26
0.02234,0.955,161.743,532.26
0.02242,0.955,161.743,532.26
0.0225,0.955,162.354,532.26
0.02258,0.955,162.354,532.26
0.02266,0.955,162.964,532.26
0.02273,0.955,162.964,532.26
0.02281,0.955,163.574,532.26
0.02289,0.955,163.574,532.26
0.02297,0.955,164.185,532.26
0.02305,0.955,164.185,532.26
0.02313,0.955,164.185,532.26
0.0232,0.955,164.795,532.26
0.02328,0.955,164.795,532.26
0.02336,0.955,165.405,532.26
0.02344,0.955,165.405,532.26
0.02352,0.955,165.405,532.26
0.02359,0.955,165.405,532.26
0.02367,0.955,165.405,532.26
0.02375,0.955,166.016,532.26
0.02383,0.955,165.405,532.26
0.02391,0.955,165.405,532.26
0.02398,0.955,165.405,532.26
0.02406,0.955,165.405,532.26
0.02414,0.955,165.405,532.26
0.02422,0.955,164.795,532.26
0.0243,0.955,164.795,532.26
0.02438,0.955,164.185,532.26
0.02445,0.955,164.185,532.26
0.02453,0.955,163.574,532.26
0.02461,0.955,163.574,532.26
0.02469,0.955,162.964,532.26
0.02477,0.955,162.354,532.26
0.02484,0.955,161.743,532.26
0.02492,0.955,161.133,532.26
0.025,0.955,161.133,532.26
0.02508,0.955,161.133,532.26
0.02516,0.955,161.133,532.26
0.02523,0.955,161.133,532.26
0.02531,0.955,161.133,532.26
0.02539,0.955,161.133,532.26
0.02547,0.955,161.133,532.26
0.02555,0.955,161.133,532.26
0.02563,0.955,161.743,532.26
0.0257,0.956,161.743,532.26
0.02578,0.956,162.354,532.26
0.02586,0.956,162.354,532.26
0.02594,0.956,162.964,532.26
0.02602,0.956,162.964,532.26
0.02609,0.956,163.574,532.26
0.02617,0.956,163.574,532.26
0.02625,0.956,164.185,532.26
0.02633,0.956,164.185,532.26
0.02641,0.956,164.185,532.26
0.02648,0.956,164.795,532.26
0.02656,0.956,164.795,532.26
0.02664,0.956,165.405,532.26
0.02672,0.956,165.405,532.26
0.0268,0.956,165.405,532.26
0.02688,0.956,165.405,532.26
0.02695,0.956,166.016,532.26
0.02703,0.956,166.016,532.26
0.02711,0.956,166.016,532.26
0.02719,0.956,166.016,532.26
0.02727,0.956,166.016,532.26
0.02734,0.956,166.016,532.26
0.02742,0.956,165.405,532.26
0.0275,0.956,165.405,532.26
0.02758,0.956,165.405,532.26
0.02766,0.956,164.795,532.26
0.02773,0.956,164.795,532.26
0.02781,0.956,164.185,532.26
0.02789,0.956,164.185,532.26
0.02797,0.956,163.574,533.481
0.02805,0.956,162.964,533.481
0.02813,0.956,162.354,532.26
0.0282,0.956,161.743,532.26
0.02828,0.956,161.743,532.26
0.02836,0.956,161.133,532.26
0.02844,0.956,161.133,532.26
0.02852,0.956,161.133,532.26
0.02859,0.956,161.133,532.26
0.02867,0.956,161.133,532.26
0.02875,0.956,161.133,533.481
0.02883,0.956,161.133,532.26
0.02891,0.956,161.743,532.26
0.02898,0.956,161.743,532.26
0.02906,0.956,161.743,532.26
0.02914,0.956,162.354,532.26
0.02922,0.956,162.354,532.26
0.0293,0.956,162.964,532.26
