t,UAB(V),delta,UAB
0.17125,95.454,0.95454,0.94977
0.171875,95.455,0.95455,0.94978
0.1725,95.453,0.95453,0.94976
0.173125,95.455,0.95455,0.94978
0.17375,95.457,0.95457,0.9498
0.174375,95.46,0.9546,0.94983
0.175,95.462,0.95462,0.94985
0.175625,95.464,0.95464,0.94987
0.17625,95.466,0.95466,0.94989
0.176875,95.468,0.95468,0.94991
0.1775,95.469,0.95469,0.94992
0.178125,95.469,0.95469,0.94992
0.17875,95.468,0.95468,0.94991
0.179375,95.467,0.95467,0.9499
0.18,95.466,0.95466,0.94989
0.180625,95.465,0.95465,0.94988
0.18125,95.465,0.95465,0.94988
0.181875,95.465,0.95465,0.94988
0.1825,95.465,0.95465,0.94988
0.183125,95.466,0.95466,0.94989
0.18375,95.467,0.95467,0.9499
0.184375,95.466,0.95466,0.94989
0.185,95.466,0.95466,0.94989
0.185625,95.468,0.95468,0.94991
0.18625,95.469,0.95469,0.94992
0.186875,95.47,0.9547,0.94993
0.1875,95.471,0.95471,0.94994
0.188125,95.47,0.9547,0.94993
0.18875,95.47,0.9547,0.94993
0.189375,95.469,0.95469,0.94992
0.19,95.469,0.95469,0.94992
0.190625,95.469,0.95469,0.94992
0.19125,95.47,0.9547,0.94993
0.191875,95.47,0.9547,0.94993
0.1925,95.47,0.9547,0.94993
0.193125,95.471,0.95471,0.94994
0.19375,95.472,0.95472,0.94995
0.194375,95.471,0.95471,0.94994
0.195,95.473,0.95473,0.94996
0.195625,95.474,0.95474,0.94997
0.19625,95.475,0.95475,0.94998
0.196875,95.475,0.95475,0.94998
0.1975,95.476,0.95476,0.94999
0.198125,95.475,0.95475,0.94998
0.19875,95.474,0.95474,0.94997
0.199375,95.473,0.95473,0.94996
0.2,95.472,0.95472,0.94995
0.200625,95.472,0.95472,0.94995
0.20125,95.47,0.9547,0.94993
0.201875,95.471,0.95471,0.94994
0.2025,95.472,0.95472,0.94995
0.203125,95.472,0.95472,0.94995
0.20375,95.471,0.95471,0.94994
0.204375,95.473,0.95473,0.94996
0.205,95.474,0.95474,0.94997
0.205625,95.475,0.95475,0.94998
0.20625,95.475,0.95475,0.94998
0.206875,95.475,0.95475,0.94998
0.2075,95.476,0.95476,0.94999
0.208125,95.476,0.95476,0.94999
0.20875,95.474,0.95474,0.94997
0.209375,95.474,0.95474,0.94997
0.21,95.471,0.95471,0.94994
0.210625,95.471,0.95471,0.94994
0.21125,95.469,0.95469,0.94992
0.211875,95.465,0.95465,0.94988
0.2125,95.467,0.95467,0.9499
0.213125,95.467,0.95467,0.9499
0.21375,95.469,0.95469,0.94992
0.214375,95.471,0.95471,0.94994
0.215,95.471,0.95471,0.94994
0.215625,95.471,0.95471,0.94994
0.21625,95.473,0.95473,0.94996
0.216875,95.474,0.95474,0.94997
0.2175,95.474,0.95474,0.94997
0.218125,95.474,0.95474,0.94997
0.21875,95.473,0.95473,0.94996
0.219375,95.473,0.95473,0.94996
0.22,95.473,0.95473,0.94996
0.220625,95.468,0.95468,0.94991
0.22125,95.467,0.95467,0.9499
0.221875,95.466,0.95466,0.94989
0.2225,95.465,0.95465,0.94988
0.223125,95.465,0.95465,0.94988
0.22375,95.467,0.95467,0.9499
0.224375,95.468,0.95468,0.94991
0.225,95.468,0.95468,0.94991
0.225625,95.469,0.95469,0.94992
0.22625,95.47,0.9547,0.94993
0.226875,95.471,0.95471,0.94994
0.2275,95.471,0.95471,0.94994
0.228125,95.471,0.95471,0.94994
0.22875,95.471,0.95471,0.94994
0.229375,95.47,0.9547,0.94993
0.23,95.47,0.9547,0.94993
0.230625,95.469,0.95469,0.94992
0.23125,95.469,0.95469,0.94992
0.231875,95.472,0.95472,0.94995
0.2325,95.47,0.9547,0.94993
0.233125,95.468,0.95468,0.94991
0.23375,95.468,0.95468,0.94991
0.234375,95.469,0.95469,0.94992
0.235,95.471,0.95471,0.94994
0.235625,95.472,0.95472,0.94995
0.23625,95.474,0.95474,0.94997
0.236875,95.475,0.95475,0.94998
0.2375,95.475,0.95475,0.94998
0.238125,95.475,0.95475,0.94998
0.23875,95.476,0.95476,0.94999
