t,UAB
2.83,1.00345
2.835,1.00345
2.84,1.00335
2.845,1.00335
2.85,1.00335
2.855,1.00325
2.86,1.00325
2.865,1.00315
2.87,1.00315
2.875,1.00315
2.88,1.00305
2.885,1.00305
2.89,1.00295
2.895,1.00295
2.9,1.00295
2.905,1.00295
2.91,1.00295
2.915,1.00305
2.92,1.00295
2.925,1.00295
2.93,1.00295
2.935,1.00295
2.94,1.00295
2.945,1.00295
2.95,1.00295
2.955,1.00285
2.96,1.00285
2.965,1.00285
2.97,1.00275
2.975,1.00275
2.98,1.00275
2.985,1.00265
2.99,1.00265
2.995,1.00255
3,1.00255
3.005,1.00255
3.01,1.00255
3.015,1.00255
3.02,1.00245
3.025,1.00255
3.03,1.00255
3.035,1.00255
3.04,1.00255
3.045,1.00255
3.05,1.00255
3.055,1.00255
3.06,1.00255
3.065,1.00255
3.07,1.00245
3.075,1.00255
3.08,1.00245
3.085,1.00245
3.09,1.00245
3.095,1.00235
3.1,1.00235
3.105,1.00225
3.11,1.00225
3.115,1.00215
3.12,1.00215
3.125,1.00215
3.13,1.00215
3.135,1.00215
3.14,1.00215
3.145,1.00215
3.15,1.00215
3.155,1.00225
3.16,1.00215
3.165,1.00215
3.17,1.00215
3.175,1.00215
3.18,1.00215
3.185,1.00215
3.19,1.00215
3.195,1.00205
3.2,1.00205
3.205,1.00205
3.21,1.00195
3.215,1.00195
3.22,1.00195
3.225,1.00185
3.23,1.00185
3.235,1.00185
3.24,1.00175
3.245,1.00175
3.25,1.00175
3.255,1.00175
3.26,1.00175
3.265,1.00185
3.27,1.00185
3.275,1.00185
3.28,1.00185
3.285,1.00185
3.29,1.00185
3.295,1.00175
3.3,1.00175
3.305,1.00175
3.31,1.00165
3.315,1.00165
3.32,1.00165
3.325,1.00165
3.33,1.00155
3.335,1.00155
3.34,1.00155
3.345,1.00155
3.35,1.00145
3.355,1.00145
3.36,1.00145
3.365,1.00145
3.37,1.00145
3.375,1.00145
3.38,1.00145
3.385,1.00145
3.39,1.00155
3.395,1.00155
3.4,1.00155
3.405,1.00155
3.41,1.00155
3.415,1.00145
3.42,1.00145
3.425,1.00135
3.43,1.00135
3.435,1.00135
3.44,1.00135
3.445,1.00125
3.45,1.00125
3.455,1.00125
3.46,1.00125
3.465,1.00115
3.47,1.00115
3.475,1.00115
3.48,1.00115
3.485,1.00125
3.49,1.00115
3.495,1.00125
3.5,1.00125
3.505,1.00125
3.51,1.00125
3.515,1.00125
3.52,1.00125
3.525,1.00125
3.53,1.00125
3.535,1.00125
3.54,1.00125
3.545,1.00115
3.55,1.00115
3.555,1.00115
3.56,1.00105
3.565,1.00105
3.57,1.00105
3.575,1.00105
3.58,1.00105
3.585,1.00105
3.59,1.00095
3.595,1.00105
3.6,1.00095
3.605,1.00105
3.61,1.00105
3.615,1.00095
3.62,1.00105
3.625,1.00105
3.63,1.00105
3.635,1.00105
3.64,1.00105
3.645,1.00095
3.65,1.00095
3.655,1.00095
3.66,1.00095
3.665,1.00095
3.67,1.00085
3.675,1.00085
3.68,1.00085
3.685,1.00085
3.69,1.00085
3.695,1.00085
3.7,1.00085
3.705,1.00085
3.71,1.00085
3.715,1.00085
3.72,1.00085
3.725,1.00085
3.73,1.00095
3.735,1.00085
3.74,1.00095
3.745,1.00085
3.75,1.00095
3.755,1.00085
3.76,1.00085
3.765,1.00075
3.77,1.00075
3.775,1.00075
3.78,1.00075
3.785,1.00075
3.79,1.00065
3.795,1.00065
3.8,1.00065
3.805,1.00065
3.81,1.00065
3.815,1.00065
3.82,1.00065
3.825,1.00065
3.83,1.00065
3.835,1.00065
3.84,1.00075
3.845,1.00075
3.85,1.00075
3.855,1.00075
3.86,1.00075
3.865,1.00075
3.87,1.00075
3.875,1.00065
3.88,1.00065
3.885,1.00065
